transacao_id,id_incremental,produto,quantidade,preco_unitario,valor_total,metodo_pagamento,localidade,data_transacao
TXN_1961373,1961373,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-09-08
TXN_4977031,4977031,Cake,4,3.0,12.0,Cash,In-Store,2023-05-16
TXN_3160411,3160411,Coffee,2,2.0,4.0,Digital Wallet,In-Store,2023-06-11
TXN_2548360,2548360,Salad,5,5.0,25.0,Cash,Takeaway,2023-11-07
TXN_7619095,7619095,Sandwich,2,4.0,8.0,Cash,In-Store,2023-05-03
TXN_2847255,2847255,Salad,3,5.0,15.0,Credit Card,In-Store,2023-11-15
TXN_6769710,6769710,Juice,2,3.0,6.0,Cash,In-Store,2023-02-24
TXN_3709394,3709394,Juice,4,3.0,12.0,Cash,Takeaway,2023-01-15
TXN_3567645,3567645,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-03-30
TXN_5132361,5132361,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-12-01
TXN_9400181,9400181,Sandwich,5,4.0,20.0,Cash,In-Store,2023-06-03
TXN_5183041,5183041,Cookie,5,1.0,5.0,Credit Card,In-Store,2023-04-20
TXN_5695074,5695074,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-04-10
TXN_8853997,8853997,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-10-09
TXN_1080432,1080432,Salad,2,5.0,10.0,Credit Card,In-Store,2023-04-29
TXN_8078640,8078640,Juice,4,3.0,12.0,Digital Wallet,In-Store,2023-11-03
TXN_8614868,8614868,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-12-05
TXN_6421134,6421134,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-11-03
TXN_3068204,3068204,Cookie,1,1.0,1.0,Credit Card,Takeaway,2023-10-03
TXN_2621580,2621580,Tea,2,1.5,3.0,Cash,In-Store,2023-03-22
TXN_4726376,4726376,Cake,2,3.0,6.0,Credit Card,In-Store,2023-01-31
TXN_6420335,6420335,Coffee,1,2.0,2.0,Cash,Takeaway,2023-07-16
TXN_3829165,3829165,Juice,4,3.0,12.0,Cash,In-Store,2023-06-15
TXN_3748616,3748616,Coffee,2,2.0,4.0,Credit Card,In-Store,2023-12-09
TXN_5266394,5266394,Cake,3,3.0,9.0,Cash,In-Store,2023-10-28
TXN_8976658,8976658,Tea,2,1.5,3.0,Credit Card,In-Store,2023-08-16
TXN_5220895,5220895,Salad,5,5.0,25.0,Cash,In-Store,2023-06-10
TXN_3085509,3085509,Coffee,4,2.0,8.0,Digital Wallet,In-Store,2023-04-15
TXN_9999113,9999113,Juice,4,3.0,12.0,Cash,Takeaway,2023-05-27
TXN_8779771,8779771,Coffee,4,2.0,8.0,Cash,In-Store,2023-07-25
TXN_3808639,3808639,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-12-15
TXN_4358673,4358673,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-12-28
TXN_4368416,4368416,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-02-24
TXN_6258471,6258471,Coffee,5,2.0,10.0,Digital Wallet,In-Store,2023-09-23
TXN_4685453,4685453,Tea,4,1.5,6.0,Cash,In-Store,2023-09-14
TXN_9096052,9096052,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-12-28
TXN_5916991,5916991,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-02-06
TXN_3407169,3407169,Sandwich,2,4.0,8.0,Cash,In-Store,2023-03-11
TXN_2181545,2181545,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-07-14
TXN_1150033,1150033,Juice,5,3.0,15.0,Cash,In-Store,2023-04-18
TXN_8700451,8700451,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-12-12
TXN_6380550,6380550,Coffee,5,2.0,10.0,Cash,In-Store,2023-01-05
TXN_4885518,4885518,Salad,3,5.0,15.0,Credit Card,In-Store,2023-06-10
TXN_5072031,5072031,Cake,2,3.0,6.0,Cash,Takeaway,2023-03-23
TXN_1928241,1928241,Coffee,3,2.0,6.0,Cash,In-Store,2023-04-30
TXN_4283157,4283157,Salad,5,5.0,25.0,Digital Wallet,In-Store,2023-11-25
TXN_1648671,1648671,Sandwich,3,4.0,12.0,Cash,Takeaway,2023-05-21
TXN_4062737,4062737,Cake,3,3.0,9.0,Cash,In-Store,2023-07-02
TXN_9249507,9249507,Cookie,4,1.0,4.0,Credit Card,In-Store,2023-11-21
TXN_9836934,9836934,Cookie,3,1.0,3.0,Digital Wallet,In-Store,2023-03-13
TXN_3925836,3925836,Cookie,3,1.0,3.0,Digital Wallet,In-Store,2023-02-16
TXN_3978874,3978874,Smoothie,5,4.0,20.0,Credit Card,In-Store,2023-03-13
TXN_8007337,8007337,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-11-01
TXN_5365809,5365809,Cake,3,3.0,9.0,Cash,In-Store,2023-09-14
TXN_6629480,6629480,Smoothie,5,4.0,20.0,Credit Card,In-Store,2023-02-28
TXN_7412722,7412722,Juice,4,3.0,12.0,Cash,In-Store,2023-04-07
TXN_6000201,6000201,Cookie,3,1.0,3.0,Cash,Takeaway,2023-02-16
TXN_2950680,2950680,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-12-10
TXN_4088917,4088917,Coffee,3,2.0,6.0,Cash,Takeaway,2023-02-04
TXN_3779366,3779366,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-04-15
TXN_3171373,3171373,Smoothie,3,4.0,12.0,Credit Card,In-Store,2023-05-10
TXN_3857960,3857960,Salad,4,5.0,20.0,Cash,In-Store,2023-04-26
TXN_9250710,9250710,Salad,1,5.0,5.0,Cash,In-Store,2023-05-28
TXN_9879996,9879996,Coffee,4,2.0,8.0,Digital Wallet,In-Store,2023-03-01
TXN_4291940,4291940,Cake,3,3.0,9.0,Credit Card,In-Store,2023-11-13
TXN_5047447,5047447,Salad,1,5.0,5.0,Digital Wallet,Takeaway,2023-12-27
TXN_6623508,6623508,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-05-18
TXN_2230167,2230167,Cake,4,3.0,12.0,Digital Wallet,Takeaway,2023-09-22
TXN_3786188,3786188,Tea,3,1.5,4.5,Credit Card,In-Store,2023-10-20
TXN_9642066,9642066,Sandwich,3,4.0,12.0,Credit Card,In-Store,2023-08-31
TXN_6616971,6616971,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-09-02
TXN_7803615,7803615,Salad,3,5.0,15.0,Cash,In-Store,2023-12-13
TXN_1583597,1583597,Salad,1,5.0,5.0,Cash,In-Store,2023-05-10
TXN_8472308,8472308,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-08-19
TXN_1967565,1967565,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-03-31
TXN_2029497,2029497,Sandwich,2,4.0,8.0,Cash,Takeaway,2023-01-06
TXN_7852990,7852990,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-07-10
TXN_2059647,2059647,Tea,1,1.5,1.5,Digital Wallet,In-Store,2023-05-29
TXN_2485183,2485183,Smoothie,5,4.0,20.0,Cash,In-Store,2023-07-07
TXN_9401522,9401522,Sandwich,4,4.0,16.0,Digital Wallet,In-Store,2023-11-16
TXN_8250651,8250651,Sandwich,4,4.0,16.0,Digital Wallet,In-Store,2023-03-13
TXN_8982764,8982764,Cake,5,3.0,15.0,Digital Wallet,Takeaway,2023-11-23
TXN_1153869,1153869,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-11-03
TXN_7557340,7557340,Tea,5,1.5,7.5,Credit Card,In-Store,2023-12-11
TXN_1157817,1157817,Smoothie,1,4.0,4.0,Digital Wallet,In-Store,2023-04-25
TXN_2020318,2020318,Tea,3,1.5,4.5,Digital Wallet,In-Store,2023-10-12
TXN_2031459,2031459,Cake,3,3.0,9.0,Cash,Takeaway,2023-07-04
TXN_4912930,4912930,Smoothie,3,4.0,12.0,Credit Card,In-Store,2023-02-26
TXN_3723007,3723007,Tea,3,1.5,4.5,Digital Wallet,In-Store,2023-05-18
TXN_7559388,7559388,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-02-26
TXN_8540499,8540499,Cookie,3,1.0,3.0,Cash,In-Store,2023-01-22
TXN_6795640,6795640,Cookie,4,1.0,4.0,Digital Wallet,Takeaway,2023-01-28
TXN_6702428,6702428,Coffee,5,2.0,10.0,Cash,Takeaway,2023-08-11
TXN_5523450,5523450,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-07-02
TXN_7838964,7838964,Sandwich,3,4.0,12.0,Credit Card,In-Store,2023-06-15
TXN_7275407,7275407,Smoothie,2,4.0,8.0,Digital Wallet,In-Store,2023-10-20
TXN_9472241,9472241,Salad,3,5.0,15.0,Cash,Takeaway,2023-06-30
TXN_1846004,1846004,Juice,3,3.0,9.0,Cash,In-Store,2023-05-21
TXN_7773968,7773968,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-02-24
TXN_9081088,9081088,Tea,2,1.5,3.0,Cash,Takeaway,2023-02-27
TXN_1130191,1130191,Smoothie,2,4.0,8.0,Cash,In-Store,2023-04-06
TXN_1040764,1040764,Coffee,3,2.0,6.0,Cash,Takeaway,2023-07-27
TXN_2100697,2100697,Coffee,3,2.0,6.0,Digital Wallet,Takeaway,2023-09-19
TXN_4134594,4134594,Sandwich,3,4.0,12.0,Digital Wallet,In-Store,2023-09-27
TXN_5079340,5079340,Cookie,4,1.0,4.0,Cash,In-Store,2023-08-18
TXN_1380601,1380601,Tea,4,1.5,6.0,Digital Wallet,In-Store,2023-03-11
TXN_2052395,2052395,Smoothie,3,4.0,12.0,Credit Card,In-Store,2023-07-06
TXN_8256593,8256593,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-08-09
TXN_9271457,9271457,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-02-27
TXN_5392603,5392603,Coffee,1,2.0,2.0,Cash,In-Store,2023-05-14
TXN_9263299,9263299,Cookie,2,1.0,2.0,Credit Card,Takeaway,2023-10-08
TXN_1436343,1436343,Cookie,1,1.0,1.0,Credit Card,In-Store,2023-11-26
TXN_7480234,7480234,Salad,1,5.0,5.0,Cash,Takeaway,2023-05-10
TXN_1454467,1454467,Juice,3,3.0,9.0,Cash,In-Store,2023-03-15
TXN_8224079,8224079,Cookie,5,1.0,5.0,Cash,In-Store,2023-10-16
TXN_1916339,1916339,Cake,1,3.0,3.0,Cash,In-Store,2023-07-15
TXN_8611035,8611035,Sandwich,5,4.0,20.0,Digital Wallet,In-Store,2023-05-28
TXN_3595735,3595735,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-03-26
TXN_6169633,6169633,Salad,4,5.0,20.0,Credit Card,Takeaway,2023-12-20
TXN_4518102,4518102,Tea,5,1.5,7.5,Credit Card,In-Store,2023-02-08
TXN_3666858,3666858,Cake,4,3.0,12.0,Credit Card,In-Store,2023-12-27
TXN_5499915,5499915,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-02-01
TXN_1564754,1564754,Salad,3,5.0,15.0,Digital Wallet,In-Store,2023-03-14
TXN_1824506,1824506,Cake,1,3.0,3.0,Cash,In-Store,2023-03-02
TXN_1002457,1002457,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-09-29
TXN_4732351,4732351,Sandwich,1,4.0,4.0,Digital Wallet,In-Store,2023-04-22
TXN_4980036,4980036,Cake,2,3.0,6.0,Cash,Takeaway,2023-01-05
TXN_3022839,3022839,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-08-25
TXN_7701070,7701070,Coffee,5,2.0,10.0,Credit Card,Takeaway,2023-07-28
TXN_8048037,8048037,Sandwich,2,4.0,8.0,Digital Wallet,Takeaway,2023-03-31
TXN_1887522,1887522,Sandwich,4,4.0,16.0,Cash,In-Store,2023-02-20
TXN_6769465,6769465,Juice,5,3.0,15.0,Digital Wallet,In-Store,2023-06-13
TXN_4980282,4980282,Cake,1,3.0,3.0,Digital Wallet,In-Store,2023-10-22
TXN_8209125,8209125,Cookie,3,1.0,3.0,Credit Card,Takeaway,2023-01-30
TXN_3730415,3730415,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-04-09
TXN_4134253,4134253,Tea,4,1.5,6.0,Cash,In-Store,2023-10-07
TXN_7558641,7558641,Coffee,1,2.0,2.0,Digital Wallet,In-Store,2023-12-22
TXN_3234877,3234877,Coffee,4,2.0,8.0,Cash,Takeaway,2023-07-29
TXN_6368719,6368719,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-01-03
TXN_8852585,8852585,Sandwich,4,4.0,16.0,Credit Card,Takeaway,2023-01-05
TXN_9201010,9201010,Salad,1,5.0,5.0,Credit Card,Takeaway,2023-03-15
TXN_3607652,3607652,Salad,4,5.0,20.0,Digital Wallet,In-Store,2023-06-05
TXN_8502094,8502094,Juice,5,3.0,15.0,Credit Card,In-Store,2023-03-21
TXN_9068244,9068244,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-10-19
